DOB;AGE;GNDR;ADMIT;NATION;NATN_TYPE;CITIZENSHIP;RESIDENCY;COLLEGE;STUDENT_MAJOR;DIPLOMA_DESCRIPTION;CERT_DATE;STUDENT_LEVEL;SCHOOL;SCHOOL_CITY
15-Dec-80;31;F;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;9-Feb-03;Graduate;UAE University;Al Ain
30-May-86;25;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;21-May-08;Graduate;Police Sciences Academy;SHARJAH
20-Nov-77;34;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;8-Mar-00;Graduate;UAE University;Al Ain
1-Mar-55;57;F;Fall 2010-2011;;;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;8-Jul-79;Graduate;Kuwait University;
14-Feb-85;27;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;11-Jun-06;Graduate;Police Sciences Academy;SHARJAH
28-Jan-81;31;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;28-Oct-02;Graduate;Police Sciences Academy;SHARJAH
1-Jan-82;30;M;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;Applied Sociology;;;Graduate;;
2-Apr-68;44;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;1-Feb-07;Graduate;Ajman Univ of Science;AJMAN
9-Mar-84;28;M;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Al Ain;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;21-Nov-06;Graduate;Police College In Abu Dhabi;ABU DHABI
5-May-78;34;F;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;-;Arts, Humanities & Social Sci.;Arabic Language & Literature;Bachelor;14-Mar-10;Graduate;UAE University;Al Ain
24-Feb-85;27;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al Madam;Arts, Humanities & Social Sci.;Arabic Language & Literature;Bachelor;27-May-07;Graduate;University of Sharjah;SHARJAH
3-Dec-75;36;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Arabic Language & Literature;;;Graduate;;
1-Jul-77;34;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;-;Arts, Humanities & Social Sci.;Arabic Language & Literature;Bachelor;3-Jul-99;Graduate;UAE University;Al Ain
20-Feb-81;31;M;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Khor Fakkan;Arts, Humanities & Social Sci.;Arabic Language & Literature;Bachelor;14-Feb-04;Graduate;UAE University;Al Ain
6-Nov-85;26;F;Fall 2010-2011;UAE;UAE;UAE-Dubai;UAE-Dubai;Arts, Humanities & Social Sci.;Arabic Language & Literature;Bachelor;3-Feb-08;Graduate;Islamic & Arabic Studies Coll;DUBAI
1-Jan-86;26;F;Fall 2010-2011;Iraq;OTHER ARAB;Non Citizen;UAE-Sharjah;Arts, Humanities & Social Sci.;Arabic Language & Literature;Bachelor of Arts;21-Aug-07;Graduate;University of Sharjah;SHARJAH
8-Aug-63;48;M;Fall 2010-2011;United Kingdom;NON ARAB;Non Citizen;UAE-Sharjah;Arts, Humanities & Social Sci.;History & Islamic Civilization;Bachelor of Education;20-Jan-10;Graduate;Ajman Univ of Science;AJMAN
27-Apr-60;52;M;Fall 2010-2011;UAE;UAE;UAE-Dubai;UAE-Dubai;Arts, Humanities & Social Sci.;History & Islamic Civilization;Bachelor of Science;15-May-85;Graduate;University of South Carolina;
9-Jun-87;24;F;Fall 2010-2011;UAE;UAE;UAE-Ras Alkhaimah;UAE-Al-Dhaid;Arts, Humanities & Social Sci.;Translation;Bachelor;14-Apr-10;Graduate;UAE University;Al Ain
2-Oct-86;25;F;Fall 2010-2011;UAE;UAE;UAE-Ras Alkhaimah;UAE-Ras Al-Khaima;Arts, Humanities & Social Sci.;Translation;Bachelor;31-Aug-08;Graduate;UAE University;Al Ain
29-Sep-86;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
25-Nov-86;25;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
27-Jul-86;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
14-Jun-84;27;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
28-Nov-87;24;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
7-Jul-85;26;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
11-Feb-85;27;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
28-Dec-75;36;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
5-Feb-87;25;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
8-Aug-86;25;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Al-Dhaid;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
16-Dec-83;28;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
7-Apr-87;25;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
31-Jan-87;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Khasab;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
8-Apr-86;26;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
17-Mar-81;31;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
23-Sep-88;23;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Ibri;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
27-May-85;26;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
8-Mar-84;28;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
21-Jan-87;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
10-Sep-86;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
31-Aug-86;25;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
24-Jul-85;26;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
18-May-82;29;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
26-Jul-86;25;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
1-Aug-85;26;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
16-Dec-79;32;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
19-Apr-87;25;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
6-May-88;24;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
11-May-78;34;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
13-Feb-86;26;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
31-Jul-85;26;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
5-Feb-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
18-Jun-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
4-Feb-85;27;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
1-Oct-70;41;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
20-Oct-73;38;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
25-Nov-79;32;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
21-Mar-86;26;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Suhar;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
20-Nov-86;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Shanasi;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
10-Nov-86;25;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
23-Apr-87;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Salalah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
22-Dec-84;27;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Salalah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
22-Oct-87;24;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
15-May-79;32;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
13-Sep-87;24;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Sahar;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
9-Mar-87;25;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
21-Aug-86;25;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
25-Aug-81;30;F;Fall 2010-2011;Oman;GCC;GCC;Oman-Muscat;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
19-Oct-87;24;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
2-Oct-80;31;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;Education;;;Higher Diploma;;
20-Apr-92;20;F;Fall 2010-2011;Palestine;OTHER ARAB;Non Citizen;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Scientific;25-Jun-10;Undergraduate;Palestine Secondary;ABU DHABI
5-Jun-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Scientific;21-Jun-10;Undergraduate;Al Nouf Girls' School;Sharjah
2-Jun-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;21-Jun-10;Undergraduate;Rouqaya Sec. Sch. G.;Sharjah
8-Sep-92;19;F;Fall 2010-2011;Without Nationality (D.H.A.D);OTHER ARAB;Nil (No Official Documents);UAE-Ajman;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;21-Jun-10;Undergraduate;Manar Al Iman Pvt Charity Sch;AJMAN
20-Jul-90;21;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;3-Jun-08;Undergraduate;Al-Thumeed Sec.G.;Sharjah
21-Mar-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;14-Jun-07;Undergraduate;Salma Bint Qais Secondary G;DABA AL HESSEN
9-Jun-91;20;F;Fall 2010-2011;Egypt;OTHER ARAB;Non Citizen;UAE-Sharjah;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;8-Jun-09;Undergraduate;Salman Al Farresi Secondary;SHARJAH
3-Sep-92;19;F;Fall 2010-2011;Without Nationality (D.H.A.D);OTHER ARAB;Nil (No Official Documents);UAE-Sharjah;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;21-Jun-10;Undergraduate;Rouqaya Sec. Sch. G.;Sharjah
30-Dec-92;19;F;Fall 2010-2011;Senegal;NON ARAB;Non Citizen;Senegal-Dakar;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;25-Jun-10;Undergraduate;Undeclared;
20-Jul-92;19;F;Fall 2010-2011;Lebanon;OTHER ARAB;Non Citizen;UAE-Dubai;Arts, Humanities & Social Sci.;English Language & Literature;High School -Scientific;22-Jun-10;Undergraduate;Dawha School;Sharjah
4-Mar-90;22;F;Fall 2010-2011;Canada;NON ARAB;Non Citizen;Jordan-Amman;Arts, Humanities & Social Sci.;English Language & Literature;High School -Literature;2-Jul-08;Undergraduate;Modern American School;AMMAN
13-Oct-90;21;F;Fall 2010-2011;Syria;OTHER ARAB;Non Citizen;UAE-Sharjah;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;26-Jun-08;Undergraduate;Al Ma'arifa Pvt Intr. School;SHARJAH
17-Aug-90;21;F;Fall 2010-2011;Somalia;OTHER ARAB;Non Citizen;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;8-Jun-09;Undergraduate;Palestine Secondary;ABU DHABI
11-May-93;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;21-Jun-10;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH
22-Sep-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;21-Jun-10;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH
30-Oct-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Dubai;UAE-Dubai;Arts, Humanities & Social Sci.;English Language & Literature;High School -Literature;21-Jun-10;Undergraduate;Al Itehad Pvt Secondary;DUBAI
28-Jun-93;18;F;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Fujairah;Arts, Humanities & Social Sci.;English Language & Literature;High School -Scientific;24-Jun-10;Undergraduate;Al Khaleej National Pvt Sch;DUBAI
8-Oct-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;21-Jun-10;Undergraduate;Al Reffa'a Secondary G.;SHARJAH
13-Apr-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Ras Alkhaimah;UAE-Ras Al-Khaima;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;21-Jun-10;Undergraduate;Al Dheet Secondary G;RAS AL KHAIMAH - EMI
18-Jun-93;18;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;English Language & Literature;IG -Literature;15-Aug-10;Undergraduate;Undeclared;
15-Nov-92;19;F;Fall 2010-2011;Canada;NON ARAB;Non Citizen;UAE-Dubai;Arts, Humanities & Social Sci.;English Language & Literature;IG -Scientific;20-Aug-10;Undergraduate;Inter. Sch.Of Creative Science;Sharjah
18-Jun-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;21-Jun-10;Undergraduate;Salma Bint Qais Secondary G;DABA AL HESSEN
29-Nov-91;20;F;Fall 2010-2011;Egypt;OTHER ARAB;Non Citizen;UAE-Sharjah;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;21-Jun-10;Undergraduate;Al Sho'ala Private Sch.;SHARJAH
4-Sep-93;18;F;Fall 2010-2011;Jordan;OTHER ARAB;Non Citizen;UAE-Dubai;Arts, Humanities & Social Sci.;English Language & Literature;High School -Scientific;23-Jun-10;Undergraduate;Dubai International Secondary;DUBAI
27-Jul-92;19;F;Fall 2010-2011;Jordan;OTHER ARAB;Non Citizen;UAE-Sharjah;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;21-Jun-10;Undergraduate;Al Sho'ala Private Sch.;SHARJAH
30-Jun-93;18;F;Fall 2010-2011;Palestine;OTHER ARAB;Non Citizen;UAE-Ajman;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;21-Jun-10;Undergraduate;Al Ahlia Pvt Secondary;SHARJAH
10-Aug-91;20;F;Fall 2010-2011;Yemen;OTHER ARAB;Non Citizen;UAE-Dubai;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;8-Jun-09;Undergraduate;Mareya Al-Qebteya Secondary G;DUBAI
3-Apr-93;19;F;Fall 2010-2011;Palestine;OTHER ARAB;Non Citizen;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;21-Jun-10;Undergraduate;Aisha Bint Abi Bakr Sec.  G;ABU DHABI
7-Apr-92;20;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;21-Jun-10;Undergraduate;Al Gobaibah Secondary G.;SHARJAH
26-Jan-93;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;21-Jun-10;Undergraduate;Waset Secondary G;SHARJAH
17-Dec-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;21-Jun-10;Undergraduate;Al Nouf Girls' School;Sharjah
10-Jan-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Ajman;UAE-Ajman;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Scientific;14-Jun-07;Undergraduate;Mozairie Secondary;AJMAN
13-Mar-89;23;F;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Ajman;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Scientific;14-Jun-07;Undergraduate;Mozairie Secondary;AJMAN
16-Sep-91;20;F;Fall 2010-2011;Oman;GCC;GCC;-;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;16-Jul-09;Undergraduate;Undeclared;
3-Jan-93;19;F;Fall 2010-2011;UAE;UAE;UAE-Dubai;UAE-Dubai;Arts, Humanities & Social Sci.;History & Islamic Civilization;High School -Literature;21-Jul-10;Undergraduate;Al Itehad Pvt Secondary;DUBAI
4-Apr-91;21;M;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Fujairah;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Scientific;3-Jun-08;Undergraduate;Seif Bin Hamad Al-Sharqi B.Sec;Fujairah
29-Mar-88;24;F;Fall 2010-2011;UAE;UAE;UAE-Dubai;UAE-Dubai;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;28-Jun-06;Undergraduate;Undeclared;
13-Dec-92;19;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;History & Islamic Civilization;Secondary School -Literature;21-Jun-10;Undergraduate;Al-Thumeed Sec.G.;Sharjah
12-Jan-86;26;F;Fall 2010-2011;Syria;OTHER ARAB;Non Citizen;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;Sociology;;;Undergraduate;;
18-Sep-92;19;F;Fall 2010-2011;Saudi Arabia;GCC;GCC;Saudi Arabia-Al Riyadh;Arts, Humanities & Social Sci.;Sociology;Secondary School -Scientific;1-Jul-10;Undergraduate;Najd Secondary School;RIYADH
9-Jul-91;20;F;Fall 2010-2011;Jordan;OTHER ARAB;Non Citizen;UAE-Dubai;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;8-Jun-09;Undergraduate;Al Waha Secondary School;DUBAI
19-Oct-88;23;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Khor Fakkan;Arts, Humanities & Social Sci.;Sociology;Secondary School -Literature;5-Jul-07;Undergraduate;Al Gobaibah Secondary G.;SHARJAH
